Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
5,Reach Out I'll Be There,Four Tops,1966,joy,2.564102564,17.94871795,0,5.128205128,33.33333333,5.128205128,10.25641026,23.07692308,2.564102564,0
6,These Boots Are Made for Walkin',Nancy Sinatra,1966,anger,16.66666667,16.66666667,16.66666667,0,16.66666667,8.333333333,0,16.66666667,8.333333333,0
7,Cherish,The Association,1966,trust,6.382978723,19.14893617,4.255319149,6.382978723,19.14893617,4.255319149,10.63829787,27.65957447,2.127659574,0
8,Strangers in the Night,Frank Sinatra,1966,joy,4.545454545,9.090909091,4.545454545,4.545454545,36.36363636,4.545454545,13.63636364,18.18181818,4.545454545,0
9,Kicks,Paul Revere,1966,trust,0,24,0,0,24,20,0,28,4,0
10,Ballad of the Green Berets,SSgt. Barry Sadler,1966,sadness,13.5678392,12.56281407,3.685092127,15.57788945,16.2479062,20.60301508,5.695142379,11.89279732,0.167504188,0
11,Good Lovin',The Young Rascals,1966,joy,1.694915254,20.33898305,1.694915254,3.389830508,27.11864407,1.694915254,20.33898305,22.03389831,1.694915254,0
12,(You're My) Soul and Inspiration,The Righteous Brothers,1966,joy,4,22,2,6,36,6,10,12,2,0
13,You Can't Hurry Love,The Supremes,1966,anticipation,3.448275862,43.10344828,0,3.448275862,34.48275862,1.724137931,1.724137931,10.34482759,1.724137931,0
14,Sunny,Bobby Hebb,1966,joy,0,2.564102564,0,7.692307692,41.02564103,10.25641026,5.128205128,30.76923077,2.564102564,0
15,See You In September,The Happenings,1966,anticipation,6.060606061,21.21212121,6.060606061,12.12121212,21.21212121,12.12121212,12.12121212,6.060606061,3.03030303,0
16,Li'l Red Riding Hood,Sam the Sham,1966,joy,13.63636364,9.090909091,13.63636364,13.63636364,15.90909091,13.63636364,6.818181818,11.36363636,2.272727273,0
17,Lightnin' Strikes,Lou Christie,1966,anticipation,0,35.71428571,14.28571429,0,28.57142857,7.142857143,0,7.142857143,7.142857143,0
18,Poor Side of Town,Johnny Rivers,1966,joy,7.142857143,14.28571429,14.28571429,0,42.85714286,0,7.142857143,7.142857143,7.142857143,0
19,Working In The Coal Mine,Lee Dorsey,1966,surprise,0,31.81818182,0,0,9.090909091,0,54.54545455,0,4.545454545,0
20,A Groovy Kind of Love,The Mindbenders,1966,joy,7.407407407,7.407407407,3.703703704,9.259259259,33.33333333,14.81481481,5.555555556,16.66666667,1.851851852,0
21,You Don't Have To Say You Love Me,Dusty Springfield,1966,joy,0,0,0,12.5,50,25,0,0,12.5,0
22,Sunshine Superman,Donovan,1966,joy,8.333333333,16.66666667,0,0,41.66666667,0,16.66666667,8.333333333,8.333333333,0
23,Born a Woman,Sandy Posey,1966,joy,10.71428571,17.85714286,10.71428571,10.71428571,21.42857143,10.71428571,7.142857143,7.142857143,3.571428571,0
24,Monday Monday,The Mamas,1966,trust,0,27.77777778,0,0,11.11111111,5.555555556,16.66666667,33.33333333,5.555555556,0
25,Red Rubber Ball,The Cyrkle,1966,anticipation,0,33.33333333,0,0,30,0,13.33333333,20,3.333333333,0
26,Born Free,Roger Williams,1966,anticipation,0,28.57142857,0,14.28571429,28.57142857,0,0,14.28571429,14.28571429,0
27,Walk Away Renée,The Left Banke,1966,fear,8.333333333,16.66666667,8.333333333,33.33333333,0,25,0,0,8.333333333,0
28,Cool Jerk,The Capitols,1966,surprise,37.20930233,2.325581395,4.651162791,0,4.651162791,0,41.86046512,6.976744186,2.325581395,0
29,B-A-B-Y,Carla Thomas,1966,joy,0,14.28571429,0,0,53.06122449,0,10.20408163,20.40816327,2.040816327,0
30,Hanky Panky,Tommy James,1966,joy,0,15,0,0,72.5,0,0,10,2.5,0
