Rank,Song,Artist,Year,Main Emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,neutral,na
37,My Love,Petula Clark,1966,joy,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
38,Daydream,The Lovin' Spoonful,1966,anticipation,0.0,40.0,10.0,0.0,20.0,0.0,10.0,10.0,10.0,0.0
39,Ain't Too Proud to Beg,The Temptations,1966,joy,0.0,15.384615384615385,0.0,0.0,53.84615384615385,0.0,7.6923076923076925,15.384615384615385,7.6923076923076925,0.0
40,Wild Thing,The Troggs,1966,surprise,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0
41,Elusive Butterfly,Bob Lind,1966,anticipation,0.0,33.333333333333336,0.0,0.0,33.333333333333336,0.0,0.0,0.0,33.333333333333336,0.0
42,I Am a Rock,Simon,1966,trust,7.6923076923076925,0.0,0.0,15.384615384615385,23.076923076923077,15.384615384615385,0.0,30.76923076923077,7.6923076923076925,0.0
43,Dirty Water,The Standells,1966,anger,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0
44,Hooray for Hazel,Tommy Roe,1966,joy,15.0,10.0,5.0,15.0,20.0,20.0,5.0,5.0,5.0,0.0
45,Crying Time,Ray Charles,1966,anticipation,0.0,36.36363636363637,0.0,9.090909090909092,18.181818181818183,9.090909090909092,9.090909090909092,9.090909090909092,9.090909090909092,0.0
46,Sweet Pea,Tommy Roe,1966,joy,0.0,16.666666666666668,0.0,4.166666666666667,29.166666666666668,4.166666666666667,16.666666666666668,25.0,4.166666666666667,0.0
47,Secret Agent Man,Johnny Rivers,1966,anticipation,6.666666666666667,20.0,6.666666666666667,20.0,13.333333333333334,13.333333333333334,0.0,13.333333333333334,6.666666666666667,0.0
48,Did You Ever Have to Make Up Your Mind?,The Lovin' Spoonful,1966,trust,12.5,12.5,0.0,0.0,12.5,12.5,12.5,25.0,12.5,0.0
49,We Can Work It Out,The Beatles,1966,anticipation,7.6923076923076925,23.076923076923077,0.0,7.6923076923076925,23.076923076923077,0.0,15.384615384615385,15.384615384615385,7.6923076923076925,0.0
50,Homeward Bound,Simon,1966,joy,6.666666666666667,13.333333333333334,0.0,13.333333333333334,26.666666666666668,20.0,6.666666666666667,6.666666666666667,6.666666666666667,0.0
51,Uptight (Everything's Alright),Stevie Wonder,1966,joy,0.0,0.0,0.0,0.0,60.0,0.0,0.0,20.0,20.0,0.0
52,Bang Bang (My Baby Shot Me Down),Cher,1966,joy,12.5,12.5,8.333333333333334,12.5,16.666666666666668,16.666666666666668,4.166666666666667,12.5,4.166666666666667,0.0
53,Sloop John B,The Beach Boys,1966,trust,12.5,0.0,12.5,12.5,0.0,12.5,0.0,37.5,12.5,0.0
54,19th Nervous Breakdown,The Rolling Stones,1966,joy,0.0,20.0,0.0,0.0,30.0,10.0,0.0,30.0,10.0,0.0
55,Wipe Out,The Surfaris,1966,na,0,0,0,0,0,0,0,0,0,100
56,Psychotic Reaction,Count Five,1966,anger,23.076923076923077,0.0,15.384615384615385,23.076923076923077,7.6923076923076925,23.076923076923077,0.0,0.0,7.6923076923076925,0.0
57,Paperback Writer,The Beatles,1966,disgust,0.0,16.666666666666668,33.333333333333336,0.0,0.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,0.0
58,Beauty Is Only Skin Deep,The Temptations,1966,joy,7.6923076923076925,15.384615384615385,0.0,0.0,38.46153846153846,0.0,7.6923076923076925,23.076923076923077,7.6923076923076925,0.0
59,No Matter What Shape (Your Stomach's In),The T-Bones,1966,anticipation,0.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0
60,Barefootin',Robert Parker,1966,anger,12.5,12.5,12.5,12.5,12.5,12.5,0.0,12.5,12.5,0.0
61,Just Like Me,Paul Revere,1966,joy,0.0,15.384615384615385,7.6923076923076925,0.0,30.76923076923077,0.0,15.384615384615385,23.076923076923077,7.6923076923076925,0.0
62,Love Makes the World Go Round,Deon Jackson,1966,joy,0.0,9.090909090909092,9.090909090909092,0.0,45.45454545454545,0.0,9.090909090909092,18.181818181818183,9.090909090909092,0.0
63,The Pied Piper,Crispian St. Peters,1966,fear,0.0,0.0,0.0,20.0,20.0,20.0,0.0,20.0,20.0,0.0
64,Somewhere My Love,Ray Conniff Singers,1966,joy,0.0,25.0,0.0,0.0,33.333333333333336,0.0,16.666666666666668,16.666666666666668,8.333333333333334,0.0
65,Almost Persuaded,David Houston,1966,joy,0.0,14.285714285714286,0.0,0.0,28.571428571428573,0.0,14.285714285714286,28.571428571428573,14.285714285714286,0.0
66,If I Were a Carpenter,Bobby Darin,1966,anticipation,0.0,20.0,0.0,20.0,20.0,20.0,0.0,10.0,10.0,0.0
67,Don't Mess with Bill,The Marvelettes,1966,anticipation,0.0,50.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0
68,Cherry Cherry,Neil Diamond,1966,joy,0.0,14.285714285714286,0.0,0.0,42.857142857142854,14.285714285714286,14.285714285714286,0.0,14.285714285714286,0.0
69,Message to Michael,Dionne Warwick,1966,anticipation,0.0,28.571428571428573,0.0,0.0,28.571428571428573,0.0,0.0,28.571428571428573,14.285714285714286,0.0
70,Love Is a Hurtin' Thing,Lou Rawls,1966,anticipation,0.0,22.22222222222222,11.11111111111111,0.0,11.11111111111111,22.22222222222222,22.22222222222222,0.0,11.11111111111111,0.0
71,Gloria,The Shadows of Knight,1966,joy,0.0,14.285714285714286,0.0,0.0,28.571428571428573,0.0,14.285714285714286,28.571428571428573,14.285714285714286,0.0
72,My World Is Empty Without You,The Supremes,1966,fear,8.333333333333334,8.333333333333334,0.0,25.0,16.666666666666668,16.666666666666668,0.0,16.666666666666668,8.333333333333334,0.0
73,Barbara Ann,The Beach Boys,1966,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
74,Rainy Day Women #12 & 35,Bob Dylan,1966,surprise,0.0,18.75,0.0,12.5,18.75,6.25,25.0,12.5,6.25,0.0
